category,level,question,option1,option2,option3,option4,correctAnswer,trivia,mediaUrl,mediaType,xpReward,timeLimit,isActive
World Geography,easy,Which of these is related to World Geography?,gold medal,lungs,blue chip,continent,continent,,,text,20,12,true
World Geography,easy,Which of these is related to World Geography?,topography,illustration,inventor,Beowulf,topography,,,text,20,12,true
World Geography,easy,Which of these is related to World Geography?,couture,continent,Kerala,Hindi cinema,continent,,,text,20,12,true
World Geography,easy,Which option belongs to World Geography?,network,Rockies,hemisphere,servo,hemisphere,,,text,20,12,true
World Geography,easy,Select a term associated with World Geography.,hypotenuse,globe,Kalahari,Yggdrasil,globe,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,fraction,time zone,PEP 8,leadership,time zone,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,funnel,Gobi,time zone,fulfillment,time zone,,,text,20,12,true
World Geography,easy,Select a term associated with World Geography.,model,longitude,Gulf,box office,longitude,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,leader,canvas,biodiversity,map scale,map scale,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,time zone,meditation,batsman,platform,time zone,,,text,20,12,true
World Geography,easy,Select a term associated with World Geography.,altitude,patent,longitude,horsepower,longitude,,,text,20,12,true
World Geography,easy,Select a term associated with World Geography.,castling,theme,force,altitude,altitude,,,text,20,12,true
World Geography,easy,Select a term associated with World Geography.,map scale,dividend yield,Asgard,multiple,map scale,,,text,20,12,true
World Geography,easy,Which option belongs to World Geography?,Mediterranean Sea,recognition,algorithm,equator,equator,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,latitude,wilderness,fossil fuels,nominee,latitude,,,text,20,12,true
World Geography,easy,Which option belongs to World Geography?,floor plan,equator,logo,complexity,equator,,,text,20,12,true
World Geography,easy,Select a term associated with World Geography.,time zone,Harappa,ionic bond,cinematography,time zone,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,share,existence,session,longitude,longitude,,,text,20,12,true
World Geography,medium,Pick the concept that best matches World Geography.,origin,verse,map scale,level,map scale,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,latitude,level,gearbox,interest,latitude,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,knowledge base,longitude,vault,autonomy,longitude,,,text,40,10,true
World Geography,medium,Which option is a key concept in World Geography?,Asgard,topography,evolution,predicate,topography,,,text,40,10,true
World Geography,medium,Pick the concept that best matches World Geography.,continent,diameter,printing press,billionaire,continent,,,text,40,10,true
World Geography,medium,Which term is most commonly used in World Geography?,focus,ecosystem,Europe,latitude,latitude,,,text,40,10,true
World Geography,medium,Which option is a key concept in World Geography?,balance,hemisphere,circle,cinematography,hemisphere,,,text,40,10,true
World Geography,medium,Which term is most commonly used in World Geography?,equator,sine,flavor,brush,equator,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,Thor,ethics,topography,Antarctica,topography,,,text,40,10,true
World Geography,medium,Which option is a key concept in World Geography?,Peace,textile,topography,public health,topography,,,text,40,10,true
World Geography,medium,Which term is most commonly used in World Geography?,latitude,seed,Atacama,island chain,latitude,,,text,40,10,true
World Geography,medium,Which term is most commonly used in World Geography?,function,movement,topography,inventory,topography,,,text,40,10,true
