category,level,question,option1,option2,option3,option4,correctAnswer,trivia,mediaUrl,mediaType,xpReward,timeLimit,isActive
World Geography,easy,Which of these fits the topic World Geography?,planet,innovation,dribble,map scale,map scale,,,text,20,12,true
World Geography,easy,Select a term associated with World Geography.,Rajasthan,stock exchange,console,altitude,altitude,,,text,20,12,true
World Geography,easy,Which of these fits the topic World Geography?,studio,Africa,longitude,Indian Ocean,longitude,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,continent,public health,goal,composer,continent,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,bandwidth,altitude,conservation,modem,altitude,,,text,20,12,true
World Geography,easy,Select a term associated with World Geography.,deuce,equation,culture,equator,equator,,,text,20,12,true
World Geography,easy,Which option belongs to World Geography?,engagement,topography,Andes,pronoun,topography,,,text,20,12,true
World Geography,easy,Which option belongs to World Geography?,hemisphere,returns,flagpole,Ramayana,hemisphere,,,text,20,12,true
World Geography,easy,Which of these fits the topic World Geography?,accessory,producer,lead time,equator,equator,,,text,20,12,true
World Geography,easy,Which of these fits the topic World Geography?,hemisphere,stock exchange,Sahara,bishop,hemisphere,,,text,20,12,true
World Geography,easy,Which of these is related to World Geography?,latitude,firewall,decor,data structure,latitude,,,text,20,12,true
World Geography,easy,Which of these is related to World Geography?,Southern Ocean,equator,oil paint,Atacama,equator,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,altitude,leader,CEO,biodiversity,altitude,,,text,20,12,true
World Geography,easy,Which option belongs to World Geography?,League of Nations,Iliad,hemisphere,class,hemisphere,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,hemisphere,livestock,flag ratio,mining,hemisphere,,,text,20,12,true
World Geography,easy,Which of these fits the topic World Geography?,exception,noun,sovereignty,continent,continent,,,text,20,12,true
World Geography,easy,Select a term associated with World Geography.,time zone,deviance,pip,patient,time zone,,,text,20,12,true
World Geography,easy,Pick the correct term for World Geography.,equator,blockbuster,cell,cart,equator,,,text,20,12,true
World Geography,medium,Which term is most commonly used in World Geography?,Europe,Southern Ocean,Australia,latitude,latitude,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,Arctic Ocean,Pacific Ocean,continent,Caribbean Sea,continent,,,text,40,10,true
World Geography,medium,Which option aligns with World Geography?,Himalayas,continent,wildlife reserve,visitor center,continent,,,text,40,10,true
World Geography,medium,Which term is most commonly used in World Geography?,biodiversity,Atacama,topography,Ganga,topography,,,text,40,10,true
World Geography,medium,Choose the term that best represents World Geography.,Danube,predator,hemisphere,equator,equator,,,text,40,10,true
World Geography,medium,Choose the term that best represents World Geography.,wilderness,Southern Ocean,time zone,Himalayas,time zone,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,time zone,Rockies,Indian Ocean,North America,time zone,,,text,40,10,true
World Geography,medium,Pick the concept that best matches World Geography.,North America,Arctic Ocean,Greenland,altitude,altitude,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,Nile,Lake Victoria,biodiversity,map scale,map scale,,,text,40,10,true
World Geography,medium,Choose the term that best represents World Geography.,Sumatra,Mojave,hemisphere,South America,hemisphere,,,text,40,10,true
World Geography,medium,Which of these is a core idea in World Geography?,Australia,time zone,ranger,Red Sea,time zone,,,text,40,10,true
World Geography,medium,Which option is a key concept in World Geography?,habitat,topography,Everest,Ganga,topography,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,Asia,Australia,altitude,sanctuary,altitude,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,Atacama,prey,hemisphere,ranger,hemisphere,,,text,40,10,true
World Geography,medium,Pick the concept that best matches World Geography.,atoll,prime meridian,arid,Africa,prime meridian,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,Gobi,arid,equator,semi-arid,equator,,,text,40,10,true
World Geography,medium,Which of these is a core idea in World Geography?,Iceland,equator,Africa,range,equator,,,text,40,10,true
World Geography,medium,Select the most relevant term for World Geography.,Iceland,time zone,conservation,island chain,time zone,,,text,40,10,true
World Geography,hard,Which term is most specifically associated with World Geography?,wilderness,prime meridian,tributary,North America,prime meridian,,,text,80,8,true
World Geography,hard,Pick the most specific concept tied to World Geography.,visitor center,equator,prey,island chain,equator,,,text,80,8,true
World Geography,hard,Which term is most specifically associated with World Geography?,Sahara,hemisphere,prey,Red Sea,hemisphere,,,text,80,8,true
World Geography,hard,Which option is most directly linked to World Geography?,Mojave,longitude,Rockies,trail,longitude,,,text,80,8,true
World Geography,hard,Pick the most specific concept tied to World Geography.,latitude,Madagascar,Nile,North America,latitude,,,text,80,8,true
World Geography,hard,Pick the most specific concept tied to World Geography.,Europe,topography,hemisphere,continent,topography,,,text,80,8,true
World Geography,hard,Select the best-fit term for World Geography.,topography,predator,Ganga,Sahara,topography,,,text,80,8,true
World Geography,hard,Which term is the closest match to World Geography?,sanctuary,habitat,Southern Ocean,map scale,map scale,,,text,80,8,true
World Geography,hard,Select the most precise term for World Geography.,map scale,Antarctica,altitude,Sahara,map scale,,,text,80,8,true
World Geography,hard,Which term is most specifically associated with World Geography?,continent,migration,Atacama,ranger,continent,,,text,80,8,true
World Geography,hard,Select the best-fit term for World Geography.,migration,altitude,Caribbean Sea,Nile,altitude,,,text,80,8,true
World Geography,hard,Select the most precise term for World Geography.,dune,semi-arid,Everest,continent,continent,,,text,80,8,true
World Geography,hard,Select the most precise term for World Geography.,Atacama,map scale,delta,wildlife reserve,map scale,,,text,80,8,true
World Geography,hard,Which option best characterizes World Geography?,Ganga,Asia,Amazon,time zone,time zone,,,text,80,8,true
World Geography,hard,Select the best-fit term for World Geography.,Asia,map scale,island chain,delta,map scale,,,text,80,8,true
World Geography,hard,Choose the most accurate term for World Geography.,arid,Sumatra,biodiversity,time zone,time zone,,,text,80,8,true
World Geography,hard,Select the most precise term for World Geography.,altitude,protected area,Iceland,species,altitude,,,text,80,8,true
World Geography,hard,Select the most precise term for World Geography.,Asia,topography,Greenland,sea,topography,,,text,80,8,true
World Geography,hard,Select the best-fit term for World Geography.,topography,campground,Nile,protected area,topography,,,text,80,8,true
