category,level,question,option1,option2,option3,option4,correctAnswer,trivia,mediaUrl,mediaType,xpReward,timeLimit,isActive
World Geography,easy,Pick the subject area that matches: World Geography.,Programming (Python),Mythology (Norse),Modern Literature,World Geography,World Geography,,,text,20,12,true
World Geography,easy,"The topic ""World Geography"" best fits which category?",World Geography,Networking,Agriculture,Languages,World Geography,,,text,20,12,true
World Geography,easy,Identify the subject area: World Geography.,Music (Pop),Physics,Finance,World Geography,World Geography,,,text,20,12,true
World Geography,easy,Identify the subject area: World Geography.,World Geography,Business Tycoons,Mythology (Greek),Marketing,World Geography,,,text,20,12,true
World Geography,easy,Pick the subject area that matches: World Geography.,Rivers & Lakes,Geometry,World Geography,Chemistry,World Geography,,,text,20,12,true
World Geography,easy,"Which category does the topic ""World Geography"" belong to?",Cricket,Oceans & Seas,Rivers & Lakes,World Geography,World Geography,,,text,20,12,true
World Geography,easy,Identify the subject area: World Geography.,Psychology,World Geography,Brands & Logos,Islands,World Geography,,,text,20,12,true
World Geography,easy,"Which category does the topic ""World Geography"" belong to?",Economics,World Geography,Medicine,Mythology (Indian),World Geography,,,text,20,12,true
World Geography,easy,"Choose the category that best matches ""World Geography"".",World Geography,Deserts,Programming (Python),Web Development,World Geography,,,text,20,12,true
World Geography,easy,Select the correct quiz category for: World Geography.,World Geography,Robotics,National Flags,Algebra,World Geography,,,text,20,12,true
World Geography,easy,"The topic ""World Geography"" best fits which category?",Poetry,Computer Science,Geometry,World Geography,World Geography,,,text,20,12,true
World Geography,easy,Select the correct quiz category for: World Geography.,Indian States,Blockchain,Automobiles,World Geography,World Geography,,,text,20,12,true
World Geography,easy,"The topic ""World Geography"" best fits which category?",Artificial Intelligence,Algebra,Blockchain,World Geography,World Geography,,,text,20,12,true
World Geography,easy,"The topic ""World Geography"" best fits which category?",Biology,World Geography,Gaming,Robotics,World Geography,,,text,20,12,true
World Geography,easy,Pick the subject area that matches: World Geography.,World Geography,Indian States,Psychology,Robotics,World Geography,,,text,20,12,true
World Geography,easy,Identify the subject area: World Geography.,Computer Science,Painting & Art,Islands,World Geography,World Geography,,,text,20,12,true
World Geography,easy,Which quiz category would include: World Geography?,Space Exploration,World Geography,Astronomy,Internet History,World Geography,,,text,20,12,true
World Geography,easy,Pick the subject area that matches: World Geography.,Comic Books,World Geography,English Grammar,Wildlife,World Geography,,,text,20,12,true
World Geography,medium,Which category would most likely include questions on World Geography?,Artificial Intelligence,World Religions,Algebra,World Geography,World Geography,,,text,40,10,true
World Geography,medium,Select the most appropriate category for: World Geography.,World Leaders,World Geography,Algebra,Architecture,World Geography,,,text,40,10,true
World Geography,medium,Pick the best category for this quiz topic: World Geography.,Agriculture,Automobiles,Astronomy,World Geography,World Geography,,,text,40,10,true
World Geography,medium,"Which field does the topic ""World Geography"" fall under?",Agriculture,Algebra,World Geography,Awards (Nobel),World Geography,,,text,40,10,true
World Geography,medium,Choose the most accurate category for the topic: World Geography.,World Geography,Ancient Civilization,Automobiles,Aviation,World Geography,,,text,40,10,true
World Geography,medium,Select the most appropriate category for: World Geography.,World Geography,Ancient Civilization,Artificial Intelligence,Architecture,World Geography,,,text,40,10,true
World Geography,medium,Which category would most likely include questions on World Geography?,World Geography,Awards (Nobel),Architecture,Automobiles,World Geography,,,text,40,10,true
World Geography,medium,Pick the best category for this quiz topic: World Geography.,World Geography,Awards (Nobel),World Continents,Astronomy,World Geography,,,text,40,10,true
World Geography,medium,Which category would most likely include questions on World Geography?,Astronomy,Artificial Intelligence,Aviation,World Geography,World Geography,,,text,40,10,true
World Geography,medium,"Best-fit category for ""World Geography"" is:",World Geography,Automobiles,World Religions,World Continents,World Geography,,,text,40,10,true
World Geography,medium,Pick the best category for this quiz topic: World Geography.,Agriculture,World Continents,World Geography,World Leaders,World Geography,,,text,40,10,true
